toolnaam,type,waarvoor,gebruikers,aantal_universiteiten,universiteiten_voorbeeld,in_literatuuronderzoek,literatuuronderzoek_toelichting,direct_bruikbaar_voor_team,kosten,data_en_privacy,link,github_link,in_top5,reden_selectie_of_afwijzing
Otter.ai,Transcriptie,"Automatische vergadertranscriptie met samenvatting en actiepunten","1M+","3+","UC Berkeley (officieel aanbevolen door DSP); TU Dublin (LibGuide); University of the Free State (LibGuide). Geen NL instellingen gevonden.",Nee,"",Ja,"Gratis (300 min/mnd); Pro $16/mnd","Cloud; servers VS; privacy-afweging bij gevoelige vergaderingen",otter.ai,,Nee,"Interviewvalidatie: directe behoefte aan vergadering- en interviewtranscriptie bevestigd (Luca-interview). Cloud-dienst op VS-servers; privacy-afweging voor gevoelige gesprekken. tl;dv heeft beter GDPR-profiel; Whisper lokaal heeft voorkeur."
genei,Literatuuronderzoek,"Academische artikelen samenvatten; belooft 80% tijdsbesparing op literatuuronderzoek","Niet bekend","2+","University College London (library guide AI search tools); Oxford University (informeel vermeld bij Y Combinator-backing). Geen NL instellingen gevonden.",Ja,"Vermeld in UCL library guide voor AI-ondersteund literatuuronderzoek",Ja,"Basic gratis; Pro £29/mnd","Cloud; UK-bedrijf; GDPR-beleid beschikbaar",genei.io,,Nee,"Specifiek gericht op academische samenvatting; UCL en Oxford vermeld; geen NL universitaire adoptie gevonden"
Sourcely,Literatuuronderzoek,"Automatisch relevante wetenschappelijke bronnen vinden bij een stuk tekst","Niet bekend","Niet bekend","",Ja,"Geciteerd in overzichten academische AI-tools",Ja,Gratis basisversie,"Cloud; privacy-beleid beschikbaar",sourcely.net,,Nee,"Unieke invalshoek: start bij tekst en vindt passende bronnen; complement op Elicit/ASReview"
quivr,Document-AI / RAG,"Chat met eigen bestanden (PDF, Word, tekst) via LLM; zelf-hostbaar","Niet bekend","Niet bekend","",Nee,"",Ja,Gratis (open source),"Self-hosted optie; cloud-versie beschikbaar",quivr.app,github.com/QuivrHQ/quivr,Nee,"Populaire open source RAG-tool; eenvoudiger dan privateGPT voor meerdere bestandstypen"
prismaid,Literatuuronderzoek,"PRISMA-conform systematisch literatuuronderzoek automatiseren met AI-screening","Niet bekend","Niet bekend","",Ja,"Open source tool voor PRISMA 2020 systematische reviews",Ja,Gratis (open source),"Lokaal draaien mogelijk; geen data extern; GDPR-proof",prismaid.org,github.com/open-and-sustainable/prismaid,Nee,"Enige open source tool specifiek voor PRISMA-systematisch review; directe aanvulling op ASReview"
fabric,Werkprocesautomatisering,"AI-patronen toepassen op tekst via terminal: samenvatten, analyseren, schrijven","27K+ GitHub stars","Niet bekend","",Nee,"",Ja,Gratis (open source),"Afhankelijk van LLM-keuze; lokale modellen mogelijk",danielmiessler.com/projects/fabric,github.com/danielmiessler/fabric,Nee,"27K stars; krachtig voor technische gebruikers; grote bibliotheek herbruikbare AI-prompts"
Haystack,Semantisch zoeken / RAG,"Framework voor het bouwen van zoek- en QA-pipelines over eigen documenten","Niet bekend","Niet bekend","",Nee,"",Nee,Gratis (open source),"Zelf hosten; geen data extern",haystack.deepset.ai,github.com/deepset-ai/haystack,Nee,"Ontwikkeltool; geen directe inzetbaarheid voor eindgebruiker; wel relevant voor technische implementatie"
NVivo,Kwalitatief data-analyse,"Interviews, documenten en surveys kwalitatief analyseren via AI. Code-suggesties, thematische analyse, AI-samenvattingen. NVivo 15.3 met geintegreerde AI-assistent.","Breed universitair","4+","Universiteit Utrecht (gratis via SolisWorkspace voor alle medewerkers); Universiteit Twente (BMS Lab, 15 licenties voor PhDs). Internationaal: George Mason University, National University.",Ja,"Geciteerd als gebruikte analysetool in duizenden peer-reviewed kwalitatieve onderzoekspublicaties. Lumivero AI advisory board.",Ja,"Gratis via instelling (UU en UT)","Institutionele licentie. Lokaal draaien mogelijk. NVivo 15 met AI-assistent.",lumivero.com/products/nvivo,,Nee,"Direct relevant voor Windesheim: UU en UT bieden gratis toegang. Uitstekend voor kwalitatieve interview-analyse. Sterkste universitaire adoptie onder kwalitatieve tools."
ATLAS.ti,Kwalitatief data-analyse,"Interviews, documenten en multimedia kwalitatief analyseren. AI-transcriptie, code-suggesties, samenvattingen en conversational AI op eigen data. Overgenomen door Lumivero in 2024.","Breed universitair","3+","De Haagse Hogeschool (campuslicentie: alle medewerkers en studenten gratis); Hogeschool Utrecht (via SURFspot). Internationaal: 5.000+ instellingen.",Ja,"Geciteerd als gebruikte analysetool in duizenden kwalitatieve onderzoekspublicaties.",Ja,"Via instelling of €99/jaar student","Institutionele campuslicenties (o.a. De Haagse Hogeschool). Lokaal draaien mogelijk.",atlasti.com,,Nee,"Twee NL hogescholen bevestigd met campuslicentie. Sterk voor interview-analyse met AI-transcriptie. Goed alternatief voor NVivo."
MAXQDA,Kwalitatief data-analyse,"Interviews, focusgroepen en documenten analyseren via AI Assist: samenvattingen, code-suggesties, parafrasering. Mixed methods ondersteuning. 150+ landen.","Breed universitair","5+","150+ landen, breed universitair. ECPR-trainingen voor academische onderzoekers. Geen NL-specifieke instellingen bevestigd.",Ja,"Geciteerd als gebruikte analysetool in kwalitatieve methodologie-papers.",Ja,"Betaald; academische kortingen","Lokaal te draaien. Geen data extern.",maxqda.com,,Nee,"Volledig kwalitatief analyse-pakket met AI. Sterke academische training. Alternatief voor NVivo en ATLAS.ti. Geen NL hogeschool bevestigd."
Explainpaper,Paper-leesbegrip,"Academische papers begrijpen door moeilijke passages te markeren en AI-uitleg te krijgen. Ontworpen om wetenschappelijke teksten 10x sneller leesbaar te maken.","Niet bekend","3+","Texas Tech University (library guide); Bodleian Library Oxford (library guide). In mahseema/awesome-ai-tools curatie vermeld.",Ja,"In universitaire library guides opgenomen als hulpmiddel bij literatuurbegrip.",Ja,Gratis basisversie,"Cloud. Privacy-beleid beschikbaar.",explainpaper.com,,Nee,"Laagdrempelig hulpmiddel voor complexe wetenschappelijke teksten. Aanvulling op literatuurreview-tools zoals Elicit."
QuillBot,Academisch schrijven / parafrasering,"Tekst parafraseren, samenvatten, grammar check, plagiaatdetectie en citatiegenerator in een tool. Formele modus voor academisch schrijven.","35M+","5+","Bodleian Library Oxford (library guide); University of Cincinnati (research guide). Breed bij studenten wereldwijd.",Nee,"",Ja,"Gratis basisversie; premium €9.99/mnd","Cloud. GDPR-beleid beschikbaar.",quillbot.com,,Nee,"Meest gebruikte parafraseringstool in academisch onderwijs. Oxford library guide. Aanvullend schrijfhulpmiddel maar geen literatuurzoektool."
Perplexica,AI-zoekmotor (open source),"Privacy-veilige AI-zoekmotor met geciteerde antwoorden. Academische zoekmodus voor papers. Draait volledig lokaal met eigen LLM via Ollama. Open source alternatief voor Perplexity.","Niet bekend","Niet bekend","Geen NL instellingen gevonden. Aanbevolen voor privacy-gevoelige onderzoeksomgevingen.",Nee,"",Ja (technisch),Gratis (open source),"Volledig lokaal. Geen data extern. MIT-licentie.",github.com/ItzCrazyKns/Perplexica,github.com/ItzCrazyKns/Perplexica,Nee,"Privacy-proof alternatief voor Perplexity met academische zoekmodus. Vereist technische installatie met Docker en Ollama."
Open Paper,Onderzoeksbibliotheek / paper-analyse,"Eigen paper-bibliotheek beheren, annoteren en begrijpen. AI-assistent voor literatuurreview. Koppeling met openbare database van academische papers. Gemaakt door het Khoj-team (open source).","Niet bekend","Niet bekend","Geen NL instellingen gevonden. Vroege adoptiefase (v0.1 gelanceerd begin 2025).",Ja,"AI-assistent specifiek gericht op literatuurreview van eigen paper-collectie.",Ja,Gratis (open source),"Self-hosted optie beschikbaar. Geen data extern.",openpaper.ai,github.com/khoj-ai/openpaper,Nee,"Open source workbench voor eigen paper-bibliotheek met AI-literatuurreview. Veelbelovend maar vroeg stadium. Complement op Elicit en ASReview."
Rayyan,Screening systematic reviews,"Papers screenen op relevantie voor systematic reviews. AI-gebaseerde relevantie-scores, duplicaatdetectie en PRISMA flow diagram. Onbeperkt gratis.","500.000+","4+","Universiteit Utrecht (library guide, aanbevolen als beste gratis screeningtool); Universiteit Leiden (library guide). Internationaal: Georgia State, Texas Woman's University, Lancaster University, University of Queensland.",Ja,"PubMed-paper (PMID 31113000): beoordeeld als beste gratis screeningtool voor systematic reviews. Cochrane-erkend. Gebruikt in 500.000+ reviews.",Ja,Volledig gratis,"Cloud. Data Processing Addendum beschikbaar.",rayyan.ai,,Nee,"Beste gratis screeningtool voor systematic reviews. Aanbevolen door UU en Leiden. Directe aanvulling op ASReview voor de screeningfase."
Covidence,Systematic review management,"Volledig systematic review-proces beheren: import, screening titel/abstract en full-text, data-extractie en PRISMA flow diagram. Cochrane-endorsed.","Breed universitair","4+","Universiteit Twente (institutionele licentie voor alle faculteiten); Universiteit Utrecht (gratis basisversie vermeld); Universiteit Leiden (library guide). Internationaal: University of Michigan, York, Washington, Deakin.",Ja,"PMC-paper: Covidence and Rayyan (2019, PMID 30228854). Cochrane-endorsed. Meest gebruikte systematic review management platform.",Ja,"Gratis basisversie (1 review); institutionele licentie via UT","Cloud. GDPR-compliant. Verwerkersovereenkomst beschikbaar.",covidence.org,,Nee,"Cochrane-endorsed, meest gebruikte systematic review tool. UT heeft institutionele licentie voor alle faculteiten. Aanvulling op ASReview voor volledige reviewworkflow."
Fireflies.ai,Vergadertranscriptie,"Vergaderingen automatisch transcriberen met AI-samenvatting, actie-items en doorzoekbare opnames. Integreert met Zoom, Teams en Meet.","1M+","Niet bekend","Geen NL instellingen gevonden. Harvard verbood AI-vergadertools in 2025 vanwege privacyrisico's.",Nee,"",Ja,"Gratis basisversie; Pro €10/mnd","Cloud, VS. GDPR-compliant via SCCs. Data Processing Addendum beschikbaar. Geen modeltraining op gebruikersdata. Lopende rechtszaak (2025) over biometrische stemdata.",fireflies.ai,,Nee,"Krachtig alternatief voor Otter.ai. Privacyzorgen door 2025-rechtszaak over biometrische stemdata. Whisper lokaal heeft voorkeur voor gevoelige vergaderingen."
tl;dv,Vergadertranscriptie,"Vergaderingen opnemen en transcriberen met het sterkste GDPR-profiel van cloud-vergadertools: data uitsluitend in Europese datacenters, end-to-end encryptie, geen modeltraining op opnames.","1M+","Niet bekend","Geen NL instellingen gevonden. Aanbevolen als meest privacy-conforme cloud-transcriptietool.",Nee,"",Ja,Gratis basisversie,"Europese datacenters. End-to-end encryptie. GDPR-compliant. SOC 2 gecertificeerd. Geen modeltraining op opnames.",tldv.io,,Nee,"Beste GDPR-profiel van cloud-vergadertranscriptietools. Data in Europa, geen modeltraining. Interviewvalidatie: Luca heeft privacybezwaar tegen Krisp (cloud/VS); tl;dv lost dit op met Europese datacenters. Aanbevolen als cloud-alternatief voor Whisper."
Anara,Document-analyse / literatuurreview,"Chat met eigen papers en documenten. AI anticiteert hallucinations door uitsluitend op geuploadede bronnen te werken. Folder-chat analyseert meerdere papers tegelijk. Vroegere naam: Unriddle AI. Y Combinator. 3M+ gebruikers.","3M+","5+","Stanford University, MIT, Johns Hopkins, Yale, UC Berkeley. Geen NL instellingen bevestigd.",Ja,"Aanbevolen in peer-reviewed bibliotheekgidsen en academische tool-overzichten. Y Combinator backed (2023).",Ja,"Gratis basisversie; Pro $20/mnd","Cloud. Geuploadede documenten verlaten niet de gebruikersomgeving. Privacy-beleid beschikbaar.",anara.com,,Nee,"Sterkste anti-hallucination document-chat: elke respons met klikbare citatie naar bronparagraaf. Interviewvalidatie: Luca bouwde handmatig jaarverslagenanalyse-pijplijn (ChatGPT API + Python + 200-300 handmatige checks). Anara lost exact dit probleem op: chat met eigen PDF-collectie zonder hallucinations. Direct inzetbaar zonder code."
Open Deep Research,Onderzoeksagent (open source),"Multi-agent onderzoekssysteem dat complexe onderzoekstaken automatiseert tot gestructureerde rapporten. Configureerbaar met eigen LLM-provider, zoektool en MCP-servers. MIT-licentie. #6 Deep Research Bench.","Niet bekend","Niet bekend","LangChain open source project. Geen NL instellingen gevonden. Breed ingezet door AI-onderzoekers.",Nee,"arXiv-paper A Comprehensive Survey of Deep Research Systems (2025). RACE score 0.4344.",Ja (technisch),Gratis (open source),"Lokaal te draaien. Afhankelijk van LLM-keuze. Geen data extern bij lokale LLM.",github.com/langchain-ai/open_deep_research,github.com/langchain-ai/open_deep_research,Nee,"Open source alternatief voor GPT Researcher. Van LangChain. Meer configureerbaar en schaalbaar maar hogere technische drempel."
Sonix,Transcriptie (cloud),"Cloud-transcriptiedienst met ondersteuning voor Nederlands (incl. regionale accenten). AI getraind op academische spraakpatronen en vakjargon. Accurate transcriptie van colleges en interviews.","Breed universitair","5+","Breed bij universiteiten wereldwijd. Nederlandstalig model beschikbaar (85-99% nauwkeurigheid). Geen specifieke NL instellingen bevestigd.",Nee,"",Ja,"$10 per uur; Enterprise-abonnementen","Cloud, VS. Privacy-beleid beschikbaar.",sonix.ai,,Nee,"Sterkste cloud-transcriptietool met Nederlandstalig model. Academisch getraind. Alternatief voor Whisper als lokale installatie niet mogelijk is."
PaperQA2,Literatuurreview / RAG,"High-accuracy RAG voor vragen beantwoorden op basis van wetenschappelijke PDFs en documenten. Anti-hallucination: comprimeert en scoort chunks voordat ze in het antwoord worden gebruikt. Bronverwijzingen per claim.","Niet bekend","Niet bekend","Future House (open source). Geen NL instellingen bevestigd. Gepubliceerd op arXiv en OpenReview.",Ja,"arXiv 2312.07559: PaperQA Retrieval-Augmented Generative Agent for Scientific Research. arXiv 2409.13740: Language agents achieve superhuman synthesis of scientific knowledge. Matcht of overtreft expert-prestaties.",Ja (technisch),Gratis (open source),"Volledig lokaal te draaien. Geen data extern. MIT-licentie.",github.com/Future-House/paper-qa,github.com/Future-House/paper-qa,Nee,"Sterkste wetenschappelijk gevalideerde RAG voor eigen paper-collecties. Anti-hallucination. Interviewvalidatie: Luca's jaarverslagenanalyse (PDF extractie + ChatGPT evaluatie) is exact PaperQA2-use case, maar dan volledig geautomatiseerd en nauwkeuriger. Hogere technische drempel maar uniek in nauwkeurigheid."
Open Knowledge Maps,Literatuurvisualisatie / mapping,"Visueel overzicht van een onderzoeksgebied op basis van wetenschappelijke literatuur. Groepeert papers op gelijkenis. Koppeling met BASE (120M documenten) en PubMed. Open source.","Niet bekend","3+","KB (Koninklijke Bibliotheek Nederland) is ondersteunend lid. Princeton University library guide (literature mapping). Institutionele integraties in Zwitserland en Oostenrijk.",Ja,"Gepubliceerd op ResearchGate: Creating a Visual Interface to the World's Scientific Knowledge Based on NLP. Gebruikt in internationale bibliotheeksystemen.",Ja,Volledig gratis,"Open source. Data via BASE en PubMed. Privacy-vriendelijk.",openknowledgemaps.org,github.com/OpenKnowledgeMaps,Nee,"Enige open-access literatuurvisualisatietool met actief NL-lidmaatschap (KB). Sterke aanvulling op VOSviewer voor snelle oriëntatie op nieuw onderzoeksgebied."
IntelliGeo,Geospatiale AI (QGIS-plugin),"Natural language queries omzetten naar geoprocessing-workflows in QGIS. LLM-gestuurde geospatiale analyse zonder programmeerkennis. Vraag bijv: identificeer regio's getroffen door wateroverlast.","Niet bekend","1+","Universiteit Twente (ITC, maker). Gepresenteerd op NWO ICT.OPEN 2025 in Utrecht. Gefinancierd door NWO AiNed-programma. Samenwerking met Barcelona Supercomputing Center.",Ja,"NWO-projectpagina: IntelliGeo: Laying the Groundwork for Integrating LLMs into GIS. Presentaties op QGIS User Conference 2025 en FOSS4GNL 2025.",Ja (technisch),Gratis (open source),"Lokaal te draaien als QGIS-plugin. Geen data extern. Apache 2.0.",intelligeo.org,github.com/ESS-uzh/intelligeo,Nee,"NWO-gefinancierd aan Universiteit Twente. Uniek: Nederlandse tool voor AI-gestuurde geospatiale analyse. Direct relevant voor supply chain mapping en geografische risicoanalyse."
Kepler.gl,Geospatiale visualisatie,"Interactieve webgebaseerde visualisatie van grote geografische datasets. Supply chain netwerken, verkeersstromen en logistieke data op kaart. Geen code vereist voor basisgebruik.","Breed","5+","Gebruikt in academisch onderzoek (architectuur, stedenbouw, logistiek). Opengeoai.org. openscience.eu project. MIT-licentie. Oorspronkelijk door Uber ontwikkeld.",Nee,"Actief onderhouden door Foursquare. Gebruikt bij academisch logistiek- en urban computing-onderzoek.",Ja,Gratis (open source),"Volledig lokaal of web. Geen data extern (eigen hosting mogelijk). MIT-licentie.",kepler.gl,github.com/keplergl/kepler.gl,Nee,"Krachtigste open source geospatiale visualisatietool voor grote datasets. Direct inzetbaar voor supply chain mapping en geografische risicovisualisatie. Geen programmeerkennis vereist."
Semantic Visions,Supply chain intelligence / mapping,"AI-gestuurde multi-tier supply chain mapping op basis van 1,9M OSINT-bronnen in 12 talen. Ontdekt verborgen leveranciers, monitort risico's en analyseert hoe verstoringen zich door de keten verspreiden.","Niet bekend","Niet bekend","Gepresenteerd op Reuters Supply Chain Europe 2025 in Amsterdam. Winnaar 2024 Top Software & Technology Solutions Award (supply chain mapping).",Ja,"Taylor & Francis paper (2025): Enhancing Supply Chain Visibility with Generative AI. arXiv 2412.03390: Relationship Prediction in Knowledge Graphs.",Nee,Op aanvraag,"Enterprise. Cloud. Privacy-beleid beschikbaar.",semantic-visions.com,,Nee,"Meest geavanceerde AI-tool voor multi-tier supply chain mapping. Academisch gevalideerd (2025 paper). Relevant voor supply chain finance en kritieke grondstoffen onderzoek. Enterprise-only."
FLINT AI,Forensische linguistiek / integriteitscheck,"Linguistisch vingerafdrukken van teksten vergelijken om auteurschap te verifiëren. Detecteert contract cheating en AI-gegenereerde tekst via grammaticale en stilistische patronen. 80%+ accuraat.","Niet bekend","Niet bekend","Universiteiten in VS en Canada. Geen NL instellingen bevestigd. Gepubliceerd in Campus Technology en THE Journal.",Nee,"THE Journal (2023): AI Writing Detection Tool Uses Forensic Linguistic Techniques to Check Authorship. Campus Technology (2023).",Ja,Op aanvraag (demo beschikbaar),"Cloud. Documenten verwerkt op FLINT-servers.",flintai.com,,Nee,"Enige tool die auteurschap via forensische linguistiek verifieert. Onderscheidend van standaard AI-detectors (bijv. Turnitin). Relevant voor academische integriteitstoetsing."
Autopsy,Digitale forensische analyse,"Schijfimage-analyse, bewijsverzameling, incident response, digitale forensisch onderwijs","Law enforcement, universiteiten, security teams",5+,"George Washington University, Vanderbilt, Dartmouth, Penn State, Saint Augustine's University",Nee,Niet voor academisch literatuuronderzoek; wel breed ingezet in forensisch cybersecurity-onderwijs,Nee,Gratis open source,Lokaal draaien; geen data extern,autopsy.com,github.com/sleuthkit/autopsy,Nee,"Toonaangevend open source forensisch platform, breed gebruikt in academische cybersecurity-cursussen. Alleen relevant bij forensisch onderzoek, niet voor algemene werkprocessen van het lectoraat."
Velociraptor,DFIR / endpoint monitoring,"Threat hunting, forensische artefactverzameling, incident response op grote schaal (10.000-100.000+ endpoints)","Security teams, CISA, incident responders",1,Naval Postgraduate School (CISA-aanbeveling voor onderwijs),Nee,Niet voor literatuuronderzoek; forensische data-analyse op endpoints,Nee,Gratis open source (Rapid7),Lokaal / self-hosted; geen data extern; eigen VQL-querytaal,velociraptor.app,github.com/Velocidex/velociraptor,Nee,Krachtig open source DFIR-platform aanbevolen door CISA. Schaalbaar tot 100.000+ endpoints. Alleen relevant bij forensische toepassingen binnen Windesheim.
Local Deep Research,AI onderzoeksassistent (self-hosted),"Diepgaand literatuuronderzoek via ArXiv, PubMed, Semantic Scholar, Wikipedia en eigen documenten; genereert rapporten met citaties","Onderzoekers, developers",0,,Ja,"Doorzoekt ArXiv, PubMed, Semantic Scholar, Wikipedia en lokale documenten; LangGraph agentstrategie; rapporten met citaties",Ja,Gratis open source (Ollama of cloud-LLM),Volledig lokaal draaien; geen data extern; versleuteld,github.com/LearningCircuit/local-deep-research,github.com/LearningCircuit/local-deep-research,Nee,Privacy-proof alternatief voor ChatGPT Deep Research. Doorzoekt ArXiv en PubMed lokaal en genereert rapporten met citaties. Hoge score voor zelf-hosting en academisch gebruik.
Open Notebook,AI kennismanagement / NotebookLM-alternatief (self-hosted),"Documenten analyseren, notities met AI, RAG over eigen bestanden, podcast-generatie uit onderzoeksbronnen","Onderzoekers, kenniswerkers",0,,Ja,"Ondersteunt PDF's, video's, audio, webpagina's als bronnen; contextgevoelig chatten met citaties",Ja,Gratis open source,Lokaal draaien met Ollama of eigen LLM-provider; 18+ providers ondersteund,github.com/lfnovo/open-notebook,github.com/lfnovo/open-notebook,Nee,Privacy-proof self-hosted NotebookLM-alternatief met 18+ AI-providers. Ondersteunt multi-modale bronnen en podcast-generatie. Relevant als privacyvriendelijk alternatief voor Google NotebookLM.
SurfSense,AI onderzoeksagent / kennisplatform (self-hosted),"Kennismanagement over 20+ bronnen (Slack, Notion, YouTube, GitHub), semantisch zoeken, geciteerde antwoorden","Teams, kenniswerkers",0,,Ja,Geciteerde antwoorden over eigen documenten en web; semantisch zoeken; integreert 20+ externe bronnen,Ja,Gratis open source,Lokaal draaien met Ollama; geen data extern; privacy-first ontwerp,surfsense.net,github.com/MODSetter/SurfSense,Nee,Open source alternatief voor NotebookLM + Perplexity gecombineerd. Verbindt 20+ bronnen en draait lokaal. Privacy-proof voor teams die gevoelige onderzoeksdocumenten analyseren.
GeoAI,AI geospatiale analyse (Python / QGIS-plugin),"Satellietbeeldanalyse, ruimtelijke data-analyse, deep learning voor GIS, no-code geospatiale AI via QGIS","Geo-wetenschappers, universiteiten, ruimtelijk onderzoekers",3+,"Harvard (Center for Geographic Analysis), Penn State (LLM-Find project), George Washington University",Nee,Niet voor literatuuronderzoek; wel voor ruimtelijk en supply chain mapping-onderzoek,Ja,Gratis open source (MIT-licentie),Lokaal draaien; geen data extern; QGIS-plugin,opengeoai.org,github.com/opengeos/geoai,Nee,"Uitgebreide Python-bibliotheek voor AI + geospatiale data-analyse met QGIS-plugin voor no-code gebruik. Breed onderzoeksdraagvlak bij Harvard, Penn State en GWU. Aanvulling op IntelliGeo."
Resilinc EventWatchAI,Supply chain risico-monitoring AI,"Real-time monitoring van 104M+ bronnen in 100+ talen op verstoringen, geopolitiek en leveranciersrisico","Bedrijven, defensie, logistieke organisaties",1,Naval Postgraduate School (CRADA-partnership voor supply chain onderwijs en onderzoek),Nee,Geen academisch literatuuronderzoek; supply chain intelligence en risicobeheer,Nee,Commercieel (licentie vereist),Cloud (VS); enterprise-overeenkomsten beschikbaar,resilinc.ai,,Nee,"Meest geavanceerde AI-gestuurde supply chain monitoring; 104M+ bronnen, 100+ talen, 50+ eventtypen. NPS-partnerschap voor onderwijs. Relevant voor supply chain finance-onderzoek van het lectoraat."
Everstream Analytics,Supply chain risico-intelligence AI,"Voorspellende risicomodellering voor supply chains; integratie van weer, geopolitiek, leveranciersrisico en NLP","Enterprise, logistiek, procurement",0,,Nee,Geen academisch literatuuronderzoek,Nee,Commercieel,Cloud; enterprise-SLA beschikbaar,everstream.ai,,Nee,Gartner Magic Quadrant Leader 2026 voor leveranciersrisicobeheer. Integreert NLP + real-time data voor voorspellend risicobeheer in supply chains. Relevant voor supply chain finance-domein.
2Slides,Presentaties,"AI-gegenereerde presentaties via REST API en Claude Code MCP-server. Native PowerPoint output. Direct aanroepbaar vanuit Claude Code met slash-commando.","Niet bekend (developer tool)","Niet bekend",,Nee,,Ja (voor Claude Code gebruikers),Gratis basisversie / API-sleutel vereist,"Cloud-gebaseerd. Geen specifieke privacygaranties.",2slides.com,github.com/2slides/mcp-2slides,Nee,"Interviewvalidatie: Ritsaart (Claude Code-gebruiker) wil slides automatiseren. Enige slides-tool met open-source MCP-server die direct integreert met Claude Code. Kan PowerPoint genereren vanuit een prompt zonder browser."
D2L Lumi,LMS / Toetsgeneratie,"AI toetsvragen genereren aligned aan leerdoelen en Bloom's Taxonomy direct vanuit Brightspace. Ook: discussieprompts en opdrachten.","Institutioneel (Brightspace-gebruikers)","50+ (SUNY system-wide uitrol)",,Nee,,Ja (als Windesheim Lumi Pro heeft aangeschaft),Betaald add-on (Lumi Pro),"In Brightspace-omgeving. Data blijft in LMS.",d2l.com/lumi,,Nee,"Interviewvalidatie: Ritsaart wil toetsvragen genereren voor ANS/Brightspace. D2L Lumi is ingebouwd in Brightspace en genereert vragen op Bloom-niveau. Directe drempel: afhankelijk van of Windesheim Lumi Pro heeft. Check bij onderwijstechnologie."
